date,XLV,XLF,IYT,XLI,XLE,RWR,XLK,XLP,XLY,XLU,XLB
20040102,0.03158110528019843,0.08854251990145075,,0.16365863481236095,0.15861710524420655,0.021776519083951423,0.1366022794031602,0.1237809937767851,0.09957917076210453,0.1201223820357797,0.1864704544176985
20040105,0.04387837619061823,0.10324647659279197,,0.17878885702149555,0.18238853662508495,0.02136496105090848,0.16102602007612665,0.12513075427989334,0.11269775122181182,0.1504119209079772,0.2079935099903672
20040106,0.056055590561301785,0.10716716593479501,,0.17842829560034631,0.18602059651517736,0.021980352720831774,0.17303098467478537,0.1511464693400613,0.11784197112982467,0.17115040993447767,0.20282196167293687
20040107,0.07315431183469692,0.12683891467751537,,0.181876452866089,0.16477184051430996,0.024554176484501974,0.2136349293312716,0.14985578850175202,0.13225035983136593,0.18079555317869672,0.19947252380273722
20040108,0.05171574382614127,0.11466459103087256,,0.1726937998842866,0.1414386184186877,0.02302145936630044,0.23066329373900535,0.128020705350737,0.12166469894024244,0.1547074637323324,0.18821768629794514
20040109,0.0640964677994119,0.12314319179211017,,0.16635983835380078,0.14792215382916893,0.024732442724137764,0.2404888163537058,0.13080638604584333,0.12816502087314716,0.16989647785361223,0.17627762297602215
20040112,0.06292191497300863,0.11502260195155138,,0.1560492011937873,0.14947613894544812,0.023997576535329513,0.22975144832685598,0.11876018724925384,0.11857252322175574,0.14299750576566667,0.15723803997074814
20040113,0.046149180329658424,0.11185131066771621,,0.15439198691436667,0.1517504823001499,0.025055551058414453,0.2042834856032671,0.12540323207914808,0.1210983355071871,0.1442607841345688,0.14480502724295943
20040114,0.06350879758983051,0.1242343156078778,,0.16666830336680435,0.15553119821177658,0.025249710353208027,0.23295597910551194,0.148529324676442,0.1293735194805974,0.1605457816397923,0.1384306728983315
20040115,0.055275618073492974,0.10528984579963835,,0.14423514811685967,0.130752101943092,0.023717091419549065,0.21024849651536295,0.1338134681286184,0.11874911362264862,0.14256506693926183,0.11428176837443048
20040116,0.06027694704424139,0.11087556672386754,,0.15826547355121792,0.14111877285779045,0.023163594385024147,0.21892164360571154,0.14611004851582465,0.11314184538621573,0.14922819629540832,0.11353478311063647
20040120,0.060751730687422234,0.11941185602731967,,0.15813864233276162,0.17308101290921554,0.021094674908392,0.22883848374554505,0.15242297356384155,0.11213099790754161,0.16424849750267972,0.11803482776724426
20040121,0.07474979468265384,0.13221618093452042,,0.16281140263790417,0.17386971794720338,0.020054500263476403,0.22634024988568316,0.1482115943389441,0.12921751095254053,0.19648583344255052,0.11783903677014064
20040122,0.08142651760998551,0.13084556252860396,,0.14812460645398492,0.16033054407235,0.019772635876195016,0.2067976538449503,0.14222594969298746,0.1335296360100919,0.19675382552951484,0.10106405258748023
20040123,0.09232037024413785,0.14504410785442245,,0.15097570074579558,0.16701811012981338,0.021817704318752802,0.20818585925960223,0.18434964208562438,0.13098857388336504,0.18916728894885876,0.0945266541449089
20040126,0.10246663479898094,0.15558170789366738,,0.15900221090573372,0.1780015893477065,0.025756713375293283,0.21665908692222527,0.1975235522308335,0.13963017951324508,0.1803917630404058,0.09983869146036493
20040127,0.1123135018823348,0.1645818818815871,,0.16545145993045343,0.17751213353749357,0.028286780557530884,0.2276900616955056,0.2172064881698058,0.15001285886176402,0.19853262589315882,0.11215836716945657
20040128,0.10136432953875472,0.13143740499763998,,0.15314840925285098,0.14957729098379613,0.02807391018922992,0.22181259880597654,0.1835957017377777,0.12596526911675018,0.1960665506223094,0.10800248124850807
20040129,0.09735920727895356,0.13415962128624498,,0.14827479436071425,0.12758912528738633,0.026511145757248125,0.2223147972511621,0.19699115865488565,0.12541911393804717,0.19345732038831498,0.10329166203521337
20040130,0.08518450121681365,0.12910013411981516,,0.14596751951534767,0.1167763507022592,0.028454410930958456,0.22755841477563946,0.17128121438898747,0.11680466932026488,0.18363871022094702,0.10508041042248413
20040202,0.099039915679613,0.13585942253682012,,0.1375102756186431,0.11626994813083923,0.029514814452260344,0.22561912479286272,0.1853793671808776,0.11090461349301231,0.17547020734993837,0.09820715798197445
20040203,0.10000486168189696,0.1237660623937553,,0.12578655788449733,0.10695325213410588,0.030595187613738896,0.21243143789738342,0.17806787163500182,0.09370666173883857,0.1677614190618874,0.0904199248171177
20040204,0.11562938048982122,0.12240852968276655,,0.12517094113048513,0.10154115437344145,0.02731910280575168,0.18983088298055897,0.19923134630029457,0.09668640449756691,0.1589756939082428,0.08654267550738587
20040205,0.1087050633628655,0.1122124775359653,,0.12314541373881534,0.09184344402304853,0.02643830533318836,0.18471946075754941,0.19887657894966768,0.10017267957230412,0.14641740926833888,0.08389144834782232
20040206,0.11584587156662701,0.12772953016299782,,0.11845431813342357,0.0937004402358704,0.030623758761315803,0.21775643393671254,0.20444152181685565,0.10353202483413604,0.16096000321057757,0.1023044634957964
20040209,0.09756897945004665,0.12151145437101604,,0.10263758395085902,0.10140816977853451,0.02930005959536944,0.17642963550672242,0.1988695494164282,0.09923078570143595,0.17272887777174267,0.09268206793725575
20040210,0.10514711082478889,0.12437070459115615,,0.09649591420418319,0.11296462085167358,0.030186682734772347,0.17103181474004195,0.21573173281902314,0.10606960316612055,0.18283684493869046,0.08856994663603779
20040211,0.11430396434934138,0.1391088773093468,,0.11077086465461472,0.11764437590286303,0.02955450239659052,0.18773592117456797,0.21728348285399934,0.10905034371519293,0.1679705471399774,0.10752814600587718
20040212,0.11199761488152823,0.13581481152052086,,0.09928865095706568,0.11135375716539724,0.027122687426000647,0.16655440278059444,0.21015855726899668,0.0962426581625095,0.15843841025007366,0.09994639345240953
20040213,0.1210260875775157,0.151427215705183,,0.103123538399117,0.11912690499401854,0.026686337736943913,0.16256002784507972,0.21509883800528376,0.09968074634462432,0.17638444056036787,0.10621107857977893
